animeTitle	Grick no Bouken
animeType	Movie
animeNumEpisode	1
releaseDate	1981-07-21 00:00:00
endDate	
animeNumMembers	
animeScore	6.02
animeUsers	162
animeRank	
animePopularity	13037
animeDescription	Grick is a young chipmunk living in the city with his sister. But after hearing from a carrier pigeon of the Chipmunk homeland, the Great Forest, he leaves home alone. Grick meets both friends and enemies along his adventure to find the place where he truly belongs. 
animeRelated	[]
animeCharacters	['Gamba', 'Grick', 'Furakku', 'Non Non', 'Pippo']
animeVoices	['Aono, Takeshi', 'Mizushima, Yuu', 'Yoshida, Rihoko', 'Ichiryuusai, Harumi', 'Tomita, Kousei']
animeStaff	[['Nishimaki, Hideo', 'Director'], ['Fuji, Mineo', 'Episode Director'], ['Koroku, Reijirou', 'Music'], ['Saitou, Atsuo', 'Original Creator']]
