animeTitle	Doubutsu no Mori
animeType	Movie
animeNumEpisode	1
releaseDate	2006-12-16 00:00:00
endDate	
animeNumMembers	22782
animeScore	7.07
animeUsers	11637
animeRank	3477
animePopularity	3763
animeDescription	"Ai is a self-reliant girl that moves to Animal Village. She makes friends with the various villagers as she settles into the village. One night as she walked along the beach, she finds a message in the bottle. It sets her off on a quest of planting pine trees around the village to fulfill a miracle on the eve of the Winter Festival.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Bouquet', 'Ai', 'Yuu', 'Bianca', 'Sally', 'Alfonso', 'Nook, Tom', 'Totakeke', 'Mr. Resetti', 'Apollo']
animeVoices	['Fukuen, Misato', 'Horie, Yui', 'Kobayashi, Yuu', 'Hino, Yurika', 'Orikasa, Fumiko', 'Tatsuta, Naoki', 'Oguri, Shun', 'Terasoma, Masaki']
animeStaff	[['Oomura, Makoto', 'Producer'], ['Shimura, Jouji', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Asada, Yuuji', 'Episode Director']]
