animeTitle	Oniichan Zurui
animeType	Music
animeNumEpisode	1
releaseDate	1987-10-02 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17392
animeDescription	A younger brother hates how his older brother is unfair. He takes his toys, gets, gets to choose the TV channel so the younger brother decides to eat a lot in order to become the bigger brother through sheer growth spurts.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
