animeTitle	b'Hatena\xe2\x98\x86Illusion'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.38
animeUsers	11064
animeRank	
animePopularity	
animeDescription	"b'Years ago, many magical ""Artifacts"" were stolen and scattered throughout the world. They fell into the hands of people who were not supposed to know of their existence, causing misfortune to those who abused their power. The Hoshisato family of magicians has special access to the Artifacts, and they take it upon themselves to return them to their rightful place.\n\nDespite her inexperience, Kana ""Hatena"" Hoshisato wishes to aid her parents Mamoru and Maeve in their quest, doing her best to improve. Meanwhile, her childhood friend Makoto Shiranui has come to their mansion to study magic under her father\'s tutelage as part of a promise they made years ago. Hatena is excited to see her friend again, only to be utterly disappointed when the person she thought to be a girl all these years turns out to be a boy, leading to a bitter reunion.\n\nBefore long, Makoto comes to know of the Artifacts and the true identities of the magicians he admires. Unfazed, he continues to strive to fulfill his promises and stay true to why he learns magic\xe2\x80\x94to ease the sadness of people around him and, most importantly, to become a person worthy of being Hatena\'s partner.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Hatena\xe2\x98\x86Illusion', b'Hatena\xe2\x98\x86Illusion: Koi to Mahou no Illusion de, Muchuu Sasechaimasu! Special']
animeCharacters	[b'Hoshisato, Kana', b'Shiranui, Makoto', b'Hoshisato, Yumemi', b'Kikyoin, Kokomi', b'Sakurai, Emma', b'Grene, Mariah']
animeVoices	[b'\nSuzuki, Aina\nJapanese\n', b'\nMatsuoka, Yoshitsugu\nJapanese\n', b'\nTomita, Miyu\nJapanese\n', b'\nUesaka, Sumire\nJapanese\n', b'\nIchimichi, Mao\nJapanese\n', b'\nArai, Satomi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMatsuo, Shin\n\nDirector\n\n', b'\nOomuro, Masakatsu\n\nSound Director\n\n', b'\nNakashiki, Saori\n\nEpisode Director, Storyboard, Animation Director\n\n', b'\nSuzuki, Aina\n\nTheme Song Performance\n\n']
