animeTitle	Honoo no Haramase Oppai: Ero Appli Gakuen The Animation
animeType	OVA
animeNumEpisode	2
releaseDate	2017-08-25 00:00:00
endDate	2018-03-30 00:00:00
animeNumMembers	
animeScore	7.16
animeUsers	3375
animeRank	
animePopularity	5189
animeDescription	"Masato Majime has never been the popular type. Addicted to pornography, he has always been perceived as a weirdo and avoided by most people. Everything changes, however, when he saves a mysterious stray cat. It turns out that the cat is able to speak, and as a token of gratitude, she gives Majime the ""Smartphone of Love."" Equipped with dozens of Ero-apps, the phone is able to activate events in real life, fulfilling every sex fantasy of its owner.

Armed with his new powers, Majime seduces girls that would otherwise never even grace him with a look. He builds a harem of horny lovers, head-over-heels for their new master.

[Written by MAL Rewrite]"
animeRelated	['Honoo no Haramase Oppai Nyuu Doukyuusei: Oppai mo Haramase! New Class Zenin Harama Sensation!', 'Honoo no Haramase Oppai Shintai Sokutei', 'Honoo no Haramase Doukyuusei', 'Honoo no Haramase Paidol My★Star Gakuen Z The Animation', 'Honoo no Haramase Motto! Hatsuiku! Karada Sokutei 2']
animeCharacters	['Velka, Valentina', 'Hatsunegaoka, Yui', 'Uesaka, Ayane', 'Majime, Risa', 'Shiramine, Sumika']
animeVoices	['Yatsuhashi, Kinako']
animeStaff	[['Miura, Saburou', 'Script, Storyboard'], ['Squeez', 'Original Creator'], ['Horikawa, Kazuto', 'Editing, Director of Photography']]
