animeTitle	b'Mai-Otome'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.29
animeUsers	23388
animeRank	
animePopularity	
animeDescription	b'Arika Yumemiya has traveled far in search of her goal: the prestigious Gualderobe Academy. This is the school where young girls are trained to become Otomes, protectors of royal leaders throughout the lands. Here, Arika makes plenty of friends, but some enemies know something about her past that she does not. Nevertheless, her spirit and determination will keep pushing her forward.\n\nAdapted from its predecessor, Mai-HiME, this series is not a direct sequel, but an alternate universe setting featuring some of the Mai-HiME cast (though with different personalities). \n\n(Source: ANN)'
animeRelated	[b'Mai-Otome', b'Mai-HiME', b'Mai-Otome Zwei', b'Mai-Otome Specials', b'Mai-Otome Special: Otome no Inori', b'Mai-Otome 0: S.ifr']
animeCharacters	[b'Yumemiya, Arika', b'W\xc3\xa1ng, Nina', b'Blan de Windbloom, Mashiro', b'Minagi, Mikoto', b'Viola, Shizuru', b'Kruger, Natsuki', b'Sayers, Lena', b'Tokiha, Mai', b'Armitage, Haruka', b'Nao Zhang, Juliet']
animeVoices	[b'\nKikuchi, Mika\nJapanese\n', b'\nKoshimizu, Ami\nJapanese\n', b'\nYukana\nJapanese\n', b'\nShindo, Naomi\nJapanese\n', b'\nChiba, Saeko\nJapanese\n', b'\nSakurai, Tomo\nJapanese\n', b'\nNakahara, Mai\nJapanese\n', b'\nYuzuki, Ryouka\nJapanese\n', b'\nNanri, Yuuka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nObara, Masakazu\n\nDirector, Storyboard\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nOota, Masahiko\n\nEpisode Director\n\n', b'\nTakuno, Seiki\n\nEpisode Director\n\n']
