animeTitle	Detective Conan OVA 09: The Stranger in 10 Years...
animeType	OVA
animeNumEpisode	1
releaseDate	2009-06-17 00:00:00
endDate	
animeNumMembers	18670
animeScore	7.92
animeUsers	9772
animeRank	650
animePopularity	4113
animeDescription	This OVA takes place ten years in the future and chronicles the possible events if Conan Edogawa and Ai Haibara do not take the antidote to APTX 4869 and grow up alongside their friends Genta, Mitsuhiko, and Ayumi, while still maintaining their detective endeavors.
animeRelated	['Detective Conan']
animeCharacters	['Edogawa, Conan', 'Mouri, Ran', 'Haibara, Ai', 'Hattori, Heiji', 'Mouri, Kogorou', 'Tooyama, Kazuha', 'Suzuki, Sonoko', 'Yoshida, Ayumi', 'Tsuburaya, Mitsuhiko', 'Kojima, Genta']
animeVoices	['Takayama, Minami', 'Yamazaki, Wakana', 'Hayashibara, Megumi', 'Horikawa, Ryo', 'Kamiya, Akira', 'Miyamura, Yuko', 'Matsui, Naoko', 'Iwai, Yukiko', 'Ootani, Ikue', 'Takagi, Wataru']
animeStaff	[['Ochi, Koujin', 'Director'], ['Urakami, Yasuo', 'Sound Director'], ['Kyougoku, Takahiko', 'Episode Director'], ['Garnet Crow', 'Theme Song Performance']]
