animeTitle	Koukyoushihen Eureka Seven: Pocket ga Niji de Ippai
animeType	Movie
animeNumEpisode	1
releaseDate	2009-04-25 00:00:00
endDate	
animeNumMembers	42737
animeScore	7.15
animeUsers	21615
animeRank	3152
animePopularity	2704
animeDescription	"Renton, son of scientists, and Eureka, a girl who can't live under the sun, are raised together when very young and become very attached to each other. One day, Eureka is taken away. Powerless at the time, Renton vows to rescue her. He enters the military and is soon is assigned to the Independent Youths Unit 303 of the First Mobile Forces thanks to his exceptional performance alongside his Nirvash, a bio-mechanical armor/control system. Unknown to Renton, lies a plot to extinguish the alien invasion that is currently happening involving not only him, but Eureka too. 

(Source: ANN)"
animeRelated	['Koukyoushihen Eureka Seven']
animeCharacters	['Eureka', 'Thurston, Renton', 'Novak, Holland', 'Yuuki, Talho', 'Anemone', 'Sorel, Dominic', 'Moondoggie', 'Stoner', 'Matthieu', 'Gidget']
animeVoices	['Nazuka, Kaori', 'Sanpei, Yuuko', 'Fujiwara, Keiji', 'Neya, Michiko', 'Koshimizu, Ami', 'Yamazaki, Shigenori', 'Miyano, Mamoru', 'Matsumoto, Yasunori', 'Nakamura, Akio', 'Mizusawa, Fumie']
animeStaff	[['Minami, Masahiko', 'Producer'], ['Kyouda, Tomoki', 'Director, Storyboard'], ['Haraguchi, Hiroshi', 'Director, Storyboard, Key Animation'], ['Wakabayashi, Kazuhiro', 'Sound Director']]
