animeTitle	b'Dantalian no Shoka: Ibarahime'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.17
animeUsers	10178
animeRank	
animePopularity	
animeDescription	"b""A DVD containing an all new, original anime episode bundled with the fifth volume of Chako Abeno's Dantalian no Shoka manga adaptation. """
animeRelated	[b'Dantalian no Shoka']
animeCharacters	[b'Dalian', b'Disward, Hugh Anthony']
animeVoices	[b'\nSawashiro, Miyuki\nJapanese\n', b'\nOno, Daisuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUemura, Yutaka\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nYamakawa, Yoshiki\n\nEpisode Director, Storyboard\n\n', b'\nUrahata, Tatsuhiko\n\nScript\n\n']
