animeTitle	b'Discipline Zero'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.56
animeUsers	4033
animeRank	
animePopularity	
animeDescription	b'Based on the game by Active. \n\nThe hit series Discipline is revived with this new original story set prior to the coming of Hayami Takuro, protagonist of the first series.\n\nMorimoto Leona and Otokawa Saori are newly arrived boarding students at St. Alcadia Academy. Morimoto Leona desires to subjugate every person within the school, severely punishing those who are of no use to her. Even the teachers are not spared. Fellow boarders Yuuki, Ruri and Maiko, who are oblivious of the situation, fall prey to the limitless sexual desires of the male students.'
animeRelated	[b'Discipline']
animeCharacters	[b'Morimoto, Leona', b'Otokawa, Saori', b'Nonomura, Ruri', b'Himeki, Karen', b'Nishizaki, Yuri', b'Nishizaki, Momone', b'Kaneda, Maiko', b'Miyagishi, Yuuki', b'Morimoto, Reina', b'Kaori, Matsuno']
animeVoices	[b'\nHoujou, Asuka\nJapanese\n', b'\nHagiwara, Emiko\nJapanese\n', b'\nNishizawa, Hiroka\nJapanese\n', b'\nKobayashi, Maki\nJapanese\n', b'\nMorota, Kaoru\nJapanese\n', b'\nShimazaki, Haruka\nJapanese\n', b'\nSasagawa, Ayana\nJapanese\n', b'\nAsai, Harumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNakagawa, Tatsuto\n\nSound Director\n\n', b'\nMakino, Yukihiro\n\nStoryboard, Key Animation\n\n', b'\nSei Shoujo\n\nOriginal Character Design, Original Creator\n\n', b'\nActive\n\nOriginal Creator\n\n']
