animeTitle	b'Gakuen 3'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.48
animeUsers	1447
animeRank	
animePopularity	
animeDescription	"b""Since Kagetora doesn't study at all, he is sent to a strict boarding school. One day, he meets three beautiful girls at school and falls in love with them.... To have sex with them, he makes a secret plan...\n\n(Source: ErogeShop)"""
animeRelated	[b'Gakuen 2']
animeCharacters	[b'Chiba, Kagetora']
animeVoices	[b'\nHatano, Wataru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKimura, Takeshi\n\nDirector\n\n']
