animeTitle	Chuuzumou
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.58
animeUsers	381
animeRank	
animePopularity	9246
animeDescription	Once upon a time, there lived an old man and his wife in a mountain. One night, he found a bunch of mice heading to somewhere. He followed them and saw the mice playing Sumo. The man and his wife happened to know the mice living in their house always lose the matches, and they gave them some foods to support the team.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
