animeTitle	Kaichou wa Maid-sama!: Omake dayo!
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.49
animeUsers	58849
animeRank	
animePopularity	1456
animeDescription	"Extra episode included in Blu-ray and DVD volume 10, entitled ""Omake dayo (It's an extra!)""."
animeRelated	['Kaichou wa Maid-sama!']
animeCharacters	['Usui, Takumi', 'Ayuzawa, Misaki', 'Ayuzawa, Suzuna', 'Shintani, Hinata', 'Hanazono, Sakura', 'Ayuzawa, Minako', 'Kaga, Shizuko']
animeVoices	['Okamoto, Nobuhiko', 'Fujimura, Ayumi', 'Ishihara, Kaori', 'Abe, Atsushi', 'Hanazawa, Kana', 'Kawasumi, Ayako', 'Kobayashi, Yuu']
animeStaff	[['heidi', 'Theme Song Performance'], ['Mizuno, Saaya', 'Theme Song Performance'], ['Fujiwara, Hiro', 'Original Creator'], ['Imoto, Yuki', 'Character Design']]
