animeTitle	High School DxD New: Oppai, Tsutsumimasu!
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.28
animeUsers	73726
animeRank	
animePopularity	1287
animeDescription	Unaired anime episode bundled with the limited edition of High School DxD DX.1.
animeRelated	['High School DxD New', 'High School DxD BorN']
animeCharacters	['Gremory, Rias', 'Himejima, Akeno', 'Hyoudou, Issei', 'Toujou, Koneko', 'Quarta, Xenovia', 'Argento, Asia', 'Shidou, Irina', 'Kiba, Yuuto', 'Vladi, Gasper', 'Azazel']
animeVoices	['Hikasa, Youko', 'Itou, Shizuka', 'Kaji, Yuki', 'Taketatsu, Ayana', 'Taneda, Risa', 'Asakura, Azumi', 'Uchida, Maaya', 'Nojima, Kenji', 'Sakura, Ayane', 'Koyama, Rikiya']
animeStaff	[['Sakura, Ayane', 'Theme Song Performance'], ['Hikasa, Youko', 'Theme Song Performance'], ['Taketatsu, Ayana', 'Theme Song Performance'], ['Taneda, Risa', 'Theme Song Performance']]
