animeTitle	Ai Shimai 2: Futari no Kajitsu
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.49
animeUsers	3507
animeRank	
animePopularity	5815
animeDescription	"Rumi and Tomoko's father has returned, but he seems to have developed an uncontrollable urge for Tomoko, after seeing her all grown up. He tries to fight off his urges, and Takedo, in order to keep the family together.

(Source: ANN)"
animeRelated	['Ai Shimai: Futari no Kajitsu', 'Ai Shimai Tsubomi... Kegashite Kudasai']
animeCharacters	['Kitazawa, Yukie', 'Kitazawa, Rumi', 'Nogawa, Taketo', 'Kitazawa, Tomoko', 'Kitazawa', 'Okamoto, Yumi']
animeVoices	[]
animeStaff	[['Momoi, Osamu', 'Script'], ['Agematsu, Noriyasu', 'Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement'], ['Satou, Hiromi', 'Theme Song Performance'], ['ELF Corporation', 'Original Creator']]
