animeTitle	Dirty Pair Flash 3
animeType	OVA
animeNumEpisode	5
releaseDate	1995-12-21 00:00:00
endDate	1996-04-25 00:00:00
animeNumMembers	3155
animeScore	6.53
animeUsers	1146
animeRank	5985
animePopularity	8249
animeDescription	"Sexy superagents Kei and Yuri find themselves in serious trouble when they attempt to track down Kei's godson and cross paths with a killer ski patrol. This collection of episodes also features the crime fighters fending off seagulls and assassins. There is no time to rest for these two anime characters, who must continually put their lives on the line in order to successfully complete their important missions. 

(Source: Netflix) "
animeRelated	['Dirty Pair Flash 2']
animeCharacters	['Kei', 'Yuri', 'Gazelle', 'Carmen', 'Behringer', 'Rosa', 'Semolina', 'Julian', 'Monica', 'President']
animeVoices	['Matsumoto, Rica', 'Kouda, Mariko', 'Kobayashi, Kiyoshi', 'Futamata, Issei', 'Ikeda, Masaru', 'Ootani, Ikue', 'Kiyokawa, Motomu', 'Shiina, Hekiru', 'Kanai, Mika', 'Ogata, Kenichi']
animeStaff	[['Mochizuki, Tomomi', 'Director, Storyboard'], ['Dokite, Tsukasa', 'Director'], ['Chiba, Kouichi', 'Sound Director'], ['Matsumoto, Rica', 'Theme Song Performance']]
