animeTitle	Issho ni Ecchi
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.8
animeUsers	1186
animeRank	
animePopularity	7787
animeDescription	"After answering the summons of Momoka, the school nurse, the protagonist is forced to engage in various sexual acts with her.

Later, the protagonist accidentally witnesses Momoka's younger sister, Maron, masturbating. He is discovered and Maron counterattacks by stripping him and giving hand and foot jobs. One thing leads to another and he ends up taking her virginity.

Finally, the three of them go to a public bathhouse and end up in a threesome play."
animeRelated	[]
animeCharacters	['Maron', 'Momoka']
animeVoices	[]
animeStaff	[['Tominaga, Tsuneo', 'Storyboard']]
