animeTitle	b'Yuuki no Baton'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.34
animeUsers	910
animeRank	
animePopularity	
animeDescription	"b'Animation music video of the Yuuki Yuuna wa Yuusha de Aru character song ""Yuuki no Baton.""'"
animeRelated	[b'Yuuki Yuuna wa Yuusha de Aru']
animeCharacters	[b'Yuuki, Yuuna', b'Tougou, Mimori', b'Nogi, Sonoko', b'Miyoshi, Karin', b'Inubouzaki, Fuu', b'Inubouzaki, Itsuki']
animeVoices	[]
animeStaff	[]
