animeTitle	Sore Ike! Anpanman: Tenohira wo Taiyou ni
animeType	Movie
animeNumEpisode	1
releaseDate	1998-07-25 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15339
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Currypanman', 'Cheese', 'Dokin-chan', 'Horrorman', 'Melonpanna', 'Oji-san, Jam', 'Shokupanman', 'Batako-san']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yanagisawa, Michiyo', 'Yamadera, Kouichi', 'Tsuru, Hiromi', 'Kimotsuki, Kaneta', 'Kanai, Mika', 'Masuoka, Hiroshi', 'Shimamoto, Sumi', 'Sakuma, Rei']
animeStaff	[['Nagaoka, Akinori', 'Director'], ['Yamada, Etsuji', 'Sound Director'], ['Dreaming', 'Theme Song Performance'], ['Ootani, Kazuo', 'Theme Song Arrangement']]
