animeTitle	Hajime Ningen Gyatoruz
animeType	TV
animeNumEpisode	77
releaseDate	1974-10-05 00:00:00
endDate	1976-03-27 00:00:00
animeNumMembers	614
animeScore	5.95
animeUsers	158
animeRank	8867
animePopularity	12428
animeDescription	"A comedy about the wacky adventures of Giatrus and his tribe of the first human beings on the planet. 

(Source: AniDB)"
animeRelated	['Hajime Ningen Gon']
animeCharacters	['Gon', 'Grim Reaper', 'Piko-chan', 'Father', 'Mother', 'Dotechin']
animeVoices	['Maruyama, Hiroko', 'Masuoka, Hiroshi', 'Yoshida, Rihoko', 'Kimotsuki, Kaneta', 'Hanagata, Keiko', 'Tatekabe, Kazuya']
animeStaff	[['Dezaki, Osamu', 'Episode Director'], ['Hata, Masami', 'Episode Director'], ['Sonoyama, Shunji', 'Theme Song Lyrics, Original Creator'], ['Hisaishi, Joe', 'Music']]
