animeTitle	Grimm Masterpiece Theater II
animeType	TV
animeNumEpisode	23
releaseDate	1988-10-02 00:00:00
endDate	1989-03-26 00:00:00
animeNumMembers	
animeScore	7.28
animeUsers	868
animeRank	
animePopularity	9117
animeDescription	Every episode is a stand-alone retelling of a different fairy or folk tale.  Not all of them are based on the fairy tales collected by the Brothers Grimm.
animeRelated	['Grimm Meisaku Gekijou']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
