animeTitle	b'Yes! Precure 5'
animeType	b'TV'
animeNumEpisode	49
releaseDate	
endDate	
animeNumMembers	
animeScore	7.16
animeUsers	5243
animeRank	
animePopularity	
animeDescription	b'Yumehara Nozomi, a regular student, finds a magical book called the Dream Collet in the library and meets Coco and Nuts, two creatures from the Palmier Kingdom. They plead with Nozomi to restore their world, which has been destroyed by an organization called the Nightmares, by completing the Dream Collet and finding the 55 Pinkies to make any wish come true. Meanwhile, the Nightmares are moving into the real world. Once Nozomi agrees to help, Coco and Nuts transform her into the magical girl Cure Dream and turn four fellow students into her Pretty Cure team.\n\n(Source: ANN)'
animeRelated	"[b'Yes! Precure 5', b'Futari wa Precure', b'Futari wa Precure: Splash\xe2\x98\x86Star', b'Futari wa Precure: Max Heart', b'Fresh Precure!', b'Heartcatch Precure!', b'Suite Precure\xe2\x99\xaa', b'Smile Precure!', b'Dokidoki! Precure', b'Happiness Charge Precure!', b'Go! Princess Precure', b'Mahoutsukai Precure!', b'Kirakira\xe2\x98\x86Precure A La Mode', b'Hug tto! Precure', b""Healin' Good\xe2\x99\xa1Precure"", b'Tropical-Rouge! Precure', b'Yes! Precure 5 Movie: Kagami no Kuni no Miracle Daibouken!', b'Yes! Precure 5 GoGo!', b'Precure All Stars Movie DX: Minna Tomodachi\xe2\x98\x86Kiseki no Zenin Daishuugou!', b'Precure All Stars Movie DX2: Kibou no Hikari\xe2\x98\x86Rainbow Jewel wo Mamore!', b'Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu\xe2\x98\x86Nijiiro no Hana', b'Precure Dream Stars! Movie']"
animeCharacters	[b'Yumehara, Nozomi', b'Kasugano, Urara', b'Minazuki, Karen', b'Akimoto, Komachi', b'Natsuki, Rin', b'Coco', b'Nuts', b'Mimino, Kurumi', b'Bunbee', b'Girinma']
animeVoices	[b'\nSanpei, Yuuko\nJapanese\n', b'\nIse, Mariya\nJapanese\n', b'\nMaeda, Ai\nJapanese\n', b'\nNagano, Ai\nJapanese\n', b'\nTakeuchi, Junko\nJapanese\n', b'\nKusao, Takeshi\nJapanese\n', b'\nIrino, Miyu\nJapanese\n', b'\nSendai, Eri\nJapanese\n', b'\nTakagi, Wataru\nJapanese\n', b'\nHiyama, Nobuyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKomura, Toshiaki\n\nDirector, Episode Director, Storyboard\n\n', b'\nMatsumoto, Rie\n\nEpisode Director, Storyboard, Assistant Director\n\n', b'\nShida, Naotoshi\n\nEpisode Director, Key Animation\n\n', b'\nIshihira, Shinji\n\nEpisode Director\n\n']
