animeTitle	One Piece: Glorious Island
animeType	Special
animeNumEpisode	2
releaseDate	2012-12-23 00:00:00
endDate	2012-12-30 00:00:00
animeNumMembers	24225
animeScore	7.18
animeUsers	11643
animeRank	2979
animePopularity	3665
animeDescription	"An exclusive anime prologue to One Piece Film Z with an original story penned by manga creator Eiichiro Oda. 

(Source: ANN) "
animeRelated	['One Piece', 'One Piece Film: Z']
animeCharacters	['Monkey D., Luffy', 'Roronoa, Zoro', 'Sanji', 'Nico, Robin', 'Tony Tony, Chopper', 'Usopp', 'Nami', 'Brook', 'Franky']
animeVoices	['Tanaka, Mayumi', 'Nakai, Kazuya', 'Hirata, Hiroaki', 'Yamaguchi, Yuriko', 'Ootani, Ikue', 'Yamaguchi, Kappei', 'Okamura, Akemi', 'Cho', 'Yao, Kazuki']
animeStaff	[['Tomita, Yoshikazu', 'Key Animation']]
