animeTitle	Otoko Ippiki Gaki Daishou
animeType	TV
animeNumEpisode	156
releaseDate	1969-09-29 00:00:00
endDate	1970-03-28 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	11668
animeDescription	"TV anime adaptation of Motomiya Hiroshi's manga ""Otoko Ippiki Gaki Daishou"" about young gang leader and all the trouble and fights his gang gets into, serialized in Weekly Shonen Jump.

(Source: AniDB)"
animeRelated	['Otoko Ippiki Gaki Daishou']
animeCharacters	['Togawa, Mankichi']
animeVoices	[]
animeStaff	[['Wakabayashi, Tadao', 'Episode Director'], ['Motomiya, Hiroshi', 'Original Creator'], ['Mukuo, Takamura', 'Art Director']]
