animeTitle	b'High School DxD OVA'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.29
animeUsers	141127
animeRank	
animePopularity	
animeDescription	"b""#1: Oppai, Minorimasu! (Episode 13)\nA rumor is going about the school about how girls are disappearing and coming back ill and with their breast size decreased.\n\n#2: Oppai, Motomemasu! (Episode 14)\nWhile observing how the others do their jobs so they can do theirs better, Issei and Asia go with Rias to see if a coffin is cursed. During the investigation Issei is possessed by an Egyptian magician named Unas, It just so happens that Unas is just as perverted as Issei. Unas will only leave Issei's body if they can release Unas from the curse placed on him by a devil that Unas tried to make his bride."""
animeRelated	[b'High School DxD', b'High School DxD New']
animeCharacters	[b'Gremory, Rias', b'Himejima, Akeno', b'Hyoudou, Issei', b'Toujou, Koneko', b'Argento, Asia', b'Kiba, Yuuto', b'Ddraig', b'Lucifuge, Grayfia', b'Motohama', b'Matsuda']
animeVoices	[b'\nHikasa, Youko\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nTaketatsu, Ayana\nJapanese\n', b'\nAsakura, Azumi\nJapanese\n', b'\nNojima, Kenji\nJapanese\n', b'\nTachiki, Fumihiko\nJapanese\n', b'\nSeto, Saori\nJapanese\n', b'\nNakakuni, Takurou\nJapanese\n', b'\nTakumi, Yasuaki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYanagisawa, Tetsuya\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nHikasa, Youko\n\nTheme Song Performance\n\n', b'\nTaketatsu, Ayana\n\nTheme Song Performance\n\n']
