animeTitle	b'12-sai. 2nd Season'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.26
animeUsers	1498
animeRank	
animePopularity	
animeDescription	b'Second season of 12-sai.'
animeRelated	[b'12-sai.', b'12-sai.: Chicchana Mune no Tokimeki']
animeCharacters	[b'Ayase, Hanabi', b'Takao, Yuuto']
animeVoices	[b'\nKakuma, Ai\nJapanese\n', b'\nSaitou, Souma\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMaita, Nao\n\nOriginal Creator\n\n']
