animeTitle	Dokyuu Hentai HxEros
animeType	TV
animeNumEpisode	12
releaseDate	2020-07-04 00:00:00
endDate	2020-09-26 00:00:00
animeNumMembers	104338
animeScore	5.75
animeUsers	35367
animeRank	9568
animePopularity	1577
animeDescription	"Five years ago, alien beings known as the ""Kiseichuu'' invaded the world. With the species endangered, the Kiseichuu are determined to take over Earth through a deadly plan that would gradually wipe out the human race: take away humanity's sexual drive using various methods, letting them die out. In response to the Kiseichuus' scheme, the HxEros device was developed—a powerful weapon that only those with high levels of erotic energy can utilize at its maximum capacity. 

Retto Enjou, a high schooler harboring an immense hatred toward the Kiseichuu, joins a group of HxEros users to fight against them and protect humankind. With their gear reliant on erotic energy as a source of power, the team must work together to maintain high levels of libido to ensure their readiness for combat at any given time. Moreover, as he lives in a house full of lustful girls, Enjou should not expect a shortage of power anytime soon.

[Written by MAL Rewrite]"
animeRelated	['Dokyuu Hentai HxEros', 'Dokyuu Hentai HxEros: HxEros Report', 'Dokyuu Hentai HxEros OVA']
animeCharacters	['Hoshino, Kirara', 'Enjou, Retto', 'Shirayuki, Maihime', 'Momozono, Momoka', 'Tenkuuji, Sora', 'Murasame, Shiko', 'Wakakusa, Moena', 'Chacha', 'Narrator', 'Runba']
animeVoices	['Kakuma, Ai', 'Matsuoka, Yoshitsugu', 'Kayano, Ai', 'Yahagi, Sayuri', 'Kuwahara, Yuuki', 'Lynn', 'Takamori, Natsumi', 'Oomori, Nichika', 'Koyama, Rikiya', 'Kishio, Daisuke']
animeStaff	[['Satomi, Tetsurou', 'Producer'], ['Jinbo, Masato', 'Director, Series Composition'], ['Sugisawa, Satoshi', 'Script'], ['Matsuoka, Yoshitsugu', 'Theme Song Performance']]
