animeTitle	"Haikyuu!!: vs. ""Akaten"""
animeType	OVA
animeNumEpisode	1
releaseDate	2016-05-02 00:00:00
endDate	
animeNumMembers	73409
animeScore	7.77
animeUsers	35745
animeRank	916
animePopularity	1990
animeDescription	In Haikyuu!!: vs. Akaten, which takes place in the second season, Hinata and Kageyama fail a test and find that the make-up exam conflicts with their training camp.
animeRelated	['Haikyuu!! Second Season']
animeCharacters	['Hinata, Shouyou', 'Kageyama, Tobio', 'Nishinoya, Yuu', 'Tsukishima, Kei', 'Bokuto, Koutarou', 'Kuroo, Tetsurou', 'Sugawara, Koushi', 'Akaashi, Keiji', 'Tanaka, Ryuunosuke', 'Yamaguchi, Tadashi']
animeVoices	['Murase, Ayumu', 'Ishikawa, Kaito', 'Okamoto, Nobuhiko', 'Uchiyama, Kouki', 'Kimura, Ryouhei', 'Nakamura, Yuuichi', 'Irino, Miyu', 'Oosaka, Ryouta', 'Hayashi, Yuu', 'Saitou, Souma']
animeStaff	[['Morihiro, Fumi', 'Producer'], ['Furudate, Haruichi', 'Original Creator'], ['Chiba, Takahiro', 'Chief Animation Director'], ['Satou, Mayumi', 'Color Design']]
