animeTitle	Gegege no Kitarou (1996)
animeType	TV
animeNumEpisode	114
releaseDate	1996-01-07 00:00:00
endDate	1998-03-29 00:00:00
animeNumMembers	3054
animeScore	6.72
animeUsers	801
animeRank	4996
animePopularity	8343
animeDescription	"Kitarou, a ghost, spends his afterlife helping humans in need of his skills. He thwarts the plans of evil spirits who live to torment humanity. This time, Kitarou's friend Megumi is in need of his help. Her father, a botanist, went to Baruru Island to study the plant life there, and was subsequently kidnapped by evil spirits. It's up to Kitarou to save him.

(Source: Animenfo)"
animeRelated	['GeGeGe no Kitarou', 'Gegege no Kitarou (2007)', 'Gegege no Kitarou (1968)', 'Gegege no Kitarou (1971)', 'Gegege no Kitarou (1985)', 'Hakaba Kitarou', 'Gegege no Kitarou: Daikaijuu', 'Gegege no Kitarou: Obake Nighter', 'Gegege no Kitarou: Youkai Tokkyuu! Maboroshi no Kisha', 'Gegege no Kitarou: Kitarou no Yuurei Densha', 'Gegege no Kitarou (2018)']
animeCharacters	['Kitarou', 'Medama Oyaji', 'Neko Musume', 'Nezumi Otoko', 'Ittan Momen', 'Backbeard', 'Kaminari', 'Hiderigami', 'Hakusanbo', 'Makuragaeshi']
animeVoices	['Matsuoka, Youko', 'Tanonaka, Isamu', 'Nishimura, Chinami', 'Chiba, Shigeru', 'Satou, Masaharu', 'Gouri, Daisuke', 'Tachiki, Fumihiko', 'Otsuka, Chikao', 'Kimotsuki, Kaneta']
animeStaff	[['Nishio, Daisuke', 'Director'], ['Hosoda, Mamoru', 'Episode Director, Storyboard'], ['Satou, Junichi', 'Episode Director, Storyboard'], ['Kakudou, Hiroyuki', 'Episode Director']]
