animeTitle	Aggressive Retsuko: We Wish You a Metal Christmas
animeType	ONA
animeNumEpisode	1
releaseDate	2018-12-20 00:00:00
endDate	
animeNumMembers	
animeScore	7.26
animeUsers	27312
animeRank	
animePopularity	2741
animeDescription	"Red panda Retsuko, worked to the bone, unleashes her frustration in the form of death metal. Lately, though, she's found another joy—getting the most likes possible on her Instagram posts. In fact, it is said that social media attention can release endorphins. As Christmas falls upon the city, Retsuko's hunger for validation only grows, pushing her to find new ways to embellish and sugarcoat her otherwise drab life for the internet to see.

[Written by MAL Rewrite]"
animeRelated	['Aggressive Retsuko (ONA)', 'Aggressive Retsuko (ONA) 2nd Season']
animeCharacters	['Retsuko', 'Haida', 'Fenneko', 'Washimi', 'Buchou, Gori', 'Kaba, Megumi', 'Buchou, Ton', 'Tsunoda', 'Puko']
animeVoices	['Kaolip', 'Katou, Shingo', 'Inoue, Rina', 'Koiwasaki, Komegumi', 'Tsuruta, Maki', 'Arai, Souta']
animeStaff	[['Rareko', 'Director'], ['Sakurai, Miki', 'Music'], ['Nakamura, Hanae', 'Music'], ['Tabuchi, Natsumi', 'Music']]
