animeTitle	b'Pokemon Diamond & Pearl'
animeType	b'TV'
animeNumEpisode	191
releaseDate	
endDate	
animeNumMembers	
animeScore	7.22
animeUsers	70395
animeRank	
animePopularity	
animeDescription	"b""Following the end of Satoshi's Hoenn journey, he travels to the Sinnoh region for his next adventure en route to becoming a Pok\xc3\xa9mon Master. Immediately upon arrival, Team Rocket makes another attempt to snatch Pikachu, only for it to fail once again. However, Pikachu has fallen deep into a forest and it's up to Satoshi to find him! Along the way, he reunites with Takeshi\xe2\x80\x94a Pok\xc3\xa9mon breeder with whom he has traveled through many regions\xe2\x80\x94and meets his soon-to-be rival, Shinji, a power-hungry trainer who cares little for his Pok\xc3\xa9mons' feelings.\n\nStill in search for Pikachu, Satoshi notices a powerful electric attack in the distance and heads toward it to find Pikachu with Team Rocket and Hikari\xe2\x80\x94a novice trainer aiming to be the top Pok\xc3\xa9mon coordinator. After foiling Team Rocket's plans, Satoshi reunites with Pikachu and Hikari joins the group. And thus, Ash and his friends begin their journey through the exciting land of Sinnoh.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Pokemon Advanced Generation', b'Pokemon Movie 10: Dialga vs. Palkia vs. Darkrai', b'Pokemon Movie 11: Giratina to Sora no Hanataba Sheimi', b'Pokemon Movie 12: Arceus Choukoku no Jikuu e', b'Pokemon: Pikachu no Kirakira Daisousaku!', b'Pokemon: Pikachu Tanken Club', b'Pokemon Movie 13: Genei no Hasha Zoroark', b'Pokemon: Pikachu Koori no Daibouken', b'Pocket Monsters: Diamond & Pearl Specials', b'Pokemon: Pikachu no Fushigi na Fushigi na Daibouken', b'Pokemon Fushigi no Dungeon: Toki no Tankentai, Yami no Tankentai', b'Pokemon Fushigi no Dungeon: Sora no Tankentai - Toki to Yami wo Meguru Saigo no Bouken', b'Pokemon Ranger: Hikari no Kiseki', b'Pokemon Generations', b'Pokemon Best Wishes!', b'Pokemon Diamond & Pearl: Clip Show', b'Pokemon Diamond & Pearl Atsumare! Pokemon Planet Center']
animeCharacters	[b'Pikachu', b'Satoshi', b'Takeshi', b'Hikari', b'Kojirou', b'Haruka', b'Musashi', b'Shirona', b'Nyarth', b'Lucario']
animeVoices	[b'\nOotani, Ikue\nJapanese\n', b'\nMatsumoto, Rica\nJapanese\n', b'\nUeda, Yuuji\nJapanese\n', b'\nToyoguchi, Megumi\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nKawana, Midori\nJapanese\n', b'\nHayashibara, Megumi\nJapanese\n', b'\nSakurai, Tomo\nJapanese\n', b'\nInuyama, Inuko\nJapanese\n', b'\nSakaguchi, Daisuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYuyama, Kunihiko\n\nDirector\n\n', b'\nTomioka, Atsuhiro\n\nScript, Series Composition\n\n', b'\nYonemura, Shouji\n\nScript\n\n', b'\nValencia, Amparo\n\nScript, ADR Director\n\n']
