animeTitle	Dokaben
animeType	TV
animeNumEpisode	163
releaseDate	1976-10-06 00:00:00
endDate	1979-12-26 00:00:00
animeNumMembers	884
animeScore	5.98
animeUsers	158
animeRank	8725
animePopularity	11436
animeDescription	"Tarou ""Dokaben"" Yamada, who was a judoist while at junior high, enters Meikun High School and is talked into joining the baseball club. He displays his superb athletic abilities in baseball and becomes well-known as a hard hitter. He and his unique teammates establish Meikun a solid position as No.1 in the High School Baseball Championship games.

(Source: Nippon Animation)"
animeRelated	['Dokaben']
animeCharacters	['Yamada, Tarou', 'Iwaki, Masami', 'Shiranui, Mamoru', 'Satonaka, Satoru', 'Student A']
animeVoices	['Tanaka, Hideyuki', 'Genda, Tesshou', 'Ichikawa, Osamu', 'Kamiya, Akira', 'Shiozawa, Kaneto']
animeStaff	"[['Mitsunobu, Hiroyoshi', 'Episode Director'], ['Kondou, Eisuke', 'Storyboard, Animation Director, Character Design'], [""Koorogi '73"", 'Theme Song Lyrics, Theme Song Performance, Inserted Song Performance'], ['Suginami Jidou Gasshoudan', 'Theme Song Performance']]"
