animeTitle	b'X'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.42
animeUsers	31459
animeRank	
animePopularity	
animeDescription	b'His destiny has finally arrived as the young Shirou Kamui returns to Tokyo after 6 years. A powerful psychic, Kamui vows to protect the happiness of his childhood friends Fuuma and Kotori, even if it means avoiding them. But fate is cruel, whether or not Kamui wants to be involved; he holds the future of the world in his hands, given the choice of becoming a Dragon of Heaven or a Dragon of Earth. The Seven Seals gather, and so do the Seven Angels; all individuals who have their destiny carved out as one who would battle for the fate of the world. What future will Kamui choose to become reality?'
animeRelated	[b'X', b'X/1999', b'X OVA']
animeCharacters	[b'Shirou, Kamui', b'Monou, Fuuma', b'Sumeragi, Subaru', b'Sakurazuka, Seishirou', b'Arisugawa, Sorata', b'Kishu, Arashi', b'Sumeragi, Hokuto', b'Kasumi, Karen', b'Monou, Kotori', b'Yatoji, Satsuki']
animeVoices	[b'\nSuzumura, Kenichi\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n', b'\nKawano, Otoya\nJapanese\n', b'\nMadono, Mitsuaki\nJapanese\n', b'\nYuzuki, Ryouka\nJapanese\n', b'\nYukino, Satsuki\nJapanese\n', b'\nSoumi, Youko\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nKuwashima, Houko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMaruyama, Masao\n\nProducer\n\n', b'\nSasaki, Shirou\n\nProducer\n\n', b'\nKawajiri, Yoshiaki\n\nDirector, Script, Storyboard, Key Animation\n\n', b'\nHamasaki, Hiroshi\n\nEpisode Director, Storyboard\n\n']
