animeTitle	Sekai Meisaku Douwa: Hakuchou no Mizuumi
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.94
animeUsers	1537
animeRank	
animePopularity	8081
animeDescription	"When Prince Siegfried spots a beautiful swan with a crown on its head, for some reason he feels compelled to follow it. He discovers that the swan is, in fact, a princess named Odette, who is under a wizard's curse that causes her to become a swan by day. The wizard, Rothbart, wants to keep Odette to himself, and the only thing that can break the spell on Odette is a man who truly loves her, with all his heart and soul...

(Source: ANN)"
animeRelated	[]
animeCharacters	['Odette', 'Siegfried', 'Adolf', 'Hans', 'Odille', 'Margarita', 'Rotbarth']
animeVoices	['Takeshita, Keiko', 'Shigaki, Taro', 'Mugihito', 'Matsukane, Yoneko', 'Ichiryuusai, Harumi', 'Shiraishi, Fuyumi', 'Koike, Asao']
animeStaff	[['Yabuki, Kimio', 'Director'], ['Wakamatsu, Masashi', 'Theme Song Composition, Theme Song Arrangement'], ['Tchaikovsky, Pyotr Ilyich', 'Original Creator, Music'], ['Ebisawa, Kazuo', 'Background Art']]
