animeTitle	Kimi ga Aruji de Shitsuji ga Ore de
animeType	TV
animeNumEpisode	13
releaseDate	2008-01-06 00:00:00
endDate	2008-03-30 00:00:00
animeNumMembers	106866
animeScore	7.15
animeUsers	49058
animeRank	3151
animePopularity	1529
animeDescription	"Based On a Visual Novel developed by Minato Soft.

Due to family troubles, Ren Uesugi and his sister, Mihato, leave their home. They end up moving to the city but find themselves with a lack of money. Somehow they are able to find work in the form of the Kuonji family's mansion, being employed as servants to the three sisters of the Kuonji family: Shinra, Miyu, and Yume. Being a servant also associates Ren with the mansion's additional servants and the Kuonji sisters' friends.

(Source: Wikipedia)"
animeRelated	['Kimi ga Aruji de Shitsuji ga Ore de', 'Maji de Watashi ni Koi Shinasai!']
animeCharacters	['Kuonji, Shinra', 'Natose', 'Kuonji, Miyu', 'Kuonji, Yume', 'Uesugi, Mihato', 'Benisu', 'Uesugi, Ren', 'Kuki, Ageha', 'Tajiri, Yasushi', 'Mistina, Anastasia']
animeVoices	['Itou, Shizuka', 'Asakawa, Yuu', 'Gotou, Yuuko', 'Minamori, Asuka', 'Hitomi', 'Hyo-sei', 'Seki, Tomokazu', 'Tanaka, Rie', 'Akimoto, Yousuke', 'Chiaki, Mahiro']
animeStaff	[['Kudou, Susumu', 'Director, Episode Director, Storyboard'], ['Watanabe, Jun', 'Sound Director'], ['Kimura, Hiroshi', 'Episode Director, Storyboard'], ['Tokoro, Toshikatsu', 'Episode Director, Storyboard']]
