animeTitle	b'Ikusa Otome Suvia Special'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	871
animeRank	
animePopularity	
animeDescription	b'A special included in the DVD Box set of Ikusa Otome Suvia.'
animeRelated	[b'Ikusa Otome Suvia']
animeCharacters	[b'Suvia', b'Sigurd']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nLilith Soft\n\nOriginal Creator\n\n', b'\nHifumi\n\nArt Director\n\n', b'\nUshijima, Yuji\n\nCharacter Design\n\n']
