animeTitle	Wave!!: Surfing Yappe!! (TV)
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.84
animeUsers	9210
animeRank	
animePopularity	2848
animeDescription	"Masaki Hinaoka, who grew up near the coast of Ooarai in Ibaraki Prefecture, meets a prince-like transfer student Shou Akitsuki before the summer break, who introduces him to the world of surfing. Through surfing, Masaki meets irreplaceable friends and experiences farewell as he becomes an adult. It is the beginning of a never-ending story of boys fascinated by the charm of surfing.

(Source: MAL News)"
animeRelated	['Wave!!: Surfing Yappe!!']
animeCharacters	['Tanaka, Nalu', 'Kido, Naoya', 'Fuke, Rindou', 'Hinaoka, Masaki', 'Mori, Souichirou William', 'Iwana, Kousuke', 'Matsukaze, Yuuta', 'Akitsuki, Shou']
animeVoices	['Nakajima, Yoshiki', 'Toki, Shunichi', 'Okamoto, Nobuhiko', 'Maeno, Tomoaki', 'Morikubo, Shoutarou', 'Satou, Takuya', 'Shirai, Yuusuke', 'Ogasawara, Jin']
animeStaff	[['Ozaki, Takaharu', 'Director'], ['Yokota, Chikako', 'Sound Director'], ['Sarachi, Yomi', 'Original Character Design'], ['Fudeyasu, Kazuyuki', 'Series Composition']]
