animeTitle	Mijikamon
animeType	ONA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.8
animeUsers	14006
animeRank	
animePopularity	3292
animeDescription	2-minute specials for Barakamon featuring chibi characters. These specials were streamed exclusively on YouTube only in Japan after every episode of the main series.
animeRelated	['Barakamon', 'Mijikamon Episode 0']
animeCharacters	['Kotoishi, Naru', 'Handa, Sei', 'Arai, Tamako', 'Yamamura, Miwa', 'Kawafuji, Takao', 'Kanzaki, Kousuke', 'Shirakawa, Yurie']
animeVoices	['Hara, Suzuko', 'Ono, Daisuke', 'Ookubo, Rumi', 'Furuki, Nozomi', 'Suwabe, Junichi', 'Kaji, Yuki', 'Kujira']
animeStaff	[['Kawai, Kenji', 'Music'], ['Yoshino, Satsuki', 'Original Creator'], ['Morikawa, Eiko', 'Sound Effects']]
