animeTitle	b'Toriko no Chigiri'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	1424
animeRank	
animePopularity	
animeDescription	b'Two sisters, living peacefully with their grandfather who heads a Yakuza group, face a dilemma when their grandfather falls ill and another rival group starts putting pressure.\n\nThe only way out is to accept the deal with another Yakuza group for support in return for one of the girls.'
animeRelated	[]
animeCharacters	[b'Yakumo, Rio']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nGuilty\n\nOriginal Creator\n\n']
