animeTitle	b'Boku no Kanojo ga Majimesugiru Sho-bitch na Ken'
animeType	b'TV'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	6.26
animeUsers	96742
animeRank	
animePopularity	
animeDescription	"b""Haruka Shinozaki has been interested in the class representative, Akiho Kousaka, since his first year in high school. She is attractive, good at sports, and is an all-around model student. Since they are in the same class this year, Shinozaki decides to confess his feelings\xe2\x80\x94and, to his shock, Kousaka agrees to be his girlfriend!\n\nHowever, he finds that Kousaka is a bit stranger than he first thought: this seemingly perfect girl has never been in a relationship. But even though she is inexperienced, she vows to please Shinozaki in every way she can... such as learning multiple sex positions or his fetishes. Shinozaki tries to assure her that her studies into such subjects aren't necessary, but Kousaka devotes herself to making him happy in more ways than one.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Boku no Kanojo ga Majimesugiru Shojo Bitch na Ken', b'Boku no Kanojo ga Majimesugiru Sho-bitch na Ken OVA']
animeCharacters	[b'Kousaka, Akiho', b'Ariyama, Shizuku', b'Shinozaki, Haruka', b'Shinozaki, Kanata', b'Hoshikawa, Seiya', b'Shizumori, Sayo', b'Saijou, Rina', b'Kousaka, Fuyumi', b'Aikawa, Misaki', b'Igarashi, Saori']
animeVoices	[b'\nYuuki, Aoi\nJapanese\n', b'\nTakeda Tago, Larissa\nJapanese\n', b'\nIchiki, Mitsuhiro\nJapanese\n', b'\nYagi, Yuki\nJapanese\n', b'\nLounsbery, Arthur\nJapanese\n', b'\nHase, Miki\nJapanese\n', b'\nYamada, Natsumi\nJapanese\n', b'\nSaitou, Aya\nJapanese\n', b'\nMizutani, Marin\nJapanese\n', b'\nNagatsuma, Juri\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNagayama, Nobuyoshi\n\nDirector\n\n', b'\nYokota, Chikako\n\nSound Director\n\n', b'\nYuuki, Aoi\n\nTheme Song Performance\n\n', b'\npua:re\n\nTheme Song Performance\n\n']
