animeTitle	Pokemon Introductory Recap
animeType	Movie
animeNumEpisode	1
releaseDate	1998-07-18 00:00:00
endDate	
animeNumMembers	
animeScore	6.45
animeUsers	4731
animeRank	
animePopularity	5272
animeDescription	"A very short introduction used before the first five theatrical Pokemon movies. The Japanese edition utilizes the usual narrator, while the English version is narrated by Brock. It introduces the ""World of Pokemon,"" and tells the viewer about Ash Ketchum's journey. It features some redone animation from the first episode."
animeRelated	['Pokemon']
animeCharacters	['Pikachu', 'Satoshi', 'Takeshi', 'Kasumi', 'Ookido, Yukinari']
animeVoices	[]
animeStaff	[['Tajiri, Satoshi', 'Original Creator'], ['Sugimori, Ken', 'Original Character Design']]
