animeTitle	b'Ani*Kuri15'
animeType	b'Special'
animeNumEpisode	15
releaseDate	
endDate	
animeNumMembers	
animeScore	6.76
animeUsers	9536
animeRank	
animePopularity	
animeDescription	"b'15 one-minute shorts created by various people from Japan\'s animation industry. The title of the collection, Ani*Kuri15, is abbreviated from the words ""anime"" and ""creators"".\n\nSeason One\nShinji Kimura (Studio 4\xc2\xb0C; Art Director, Steamboy) - title: Attack of Higashimachi Ni Chome/Attack of Higashimachi 2nd Burough\nSh\xc5\x8djir\xc5\x8d Nishimi (Studio 4\xc2\xb0C; Character Designer, Tekkonkinkreet) - Uchujin Raikou Hiroshi no Baai/Invasion from Space - Hiroshi\'s Case\nAkemi Hayashi (Gainax; Character Designer, Fruits Basket) - Namida no Mukou/From the Other Side of the Tears\nOsamu Kobayashi (Madhouse; Art/Mecha Desgin, Gungrave) - Sancha Blues/The Aromatic Tea Blues\nYasufumi Soejima (Gonzo; 3D/CG Director, Last Exile) - Hyotoko/Blaze Man\n\nSeason Two\nAtsushi Takeuchi (Production I.G; Mecha Design, Ghost in the Shell)\nMamoru Oshii (Production I.G; Director, Ghost in the Shell) - Project Mermaid\nKazuto Nakazawa (Studio 4\xc2\xb0C; First Unit Director, Kill Bill Chapter 3: The Origin of O-Ren from Kill Bill: Volume 1) - ""yurururu"" ~Nichijou Hen~\nRanji Murata (Gonzo; Character Design, Blue Submarine No. 6) and Tatsuya Yabuta (Gonzo; Story Design, Final Fantasy VII) - Gyrosopter\nTobira Oda (Original Manga, Danchi Tom\xc5\x8d) and Yasuyuki Shimizu (Key Animation, Naruto (movies)) (Studio 4\xc2\xb0C)\n\nSeason Three\nMichael Arias (Studio 4\xc2\xb0C; Director, Tekkonkinkreet) - Okkakekko\nMakoto Shinkai (Comix Wave Film; Director, The Place Promised in Our Early Days) - Neko no Shuukai/A Gathering of Cats\nSh\xc5\x8dji Kawamori (Satelight; Director, The Super Dimension Fortress Macross: Do You Remember Love?) - Project Omega\nMahiro Maeda (Gonzo; Director, Gankutsuou: The Count of Monte Cristo) - Onmitsu Hime\nSatoshi Kon (Madhouse; Director, Paprika) - Ohay\xc5\x8d/Good Morning'"
animeRelated	[]
animeCharacters	[b'Narrator', b'Announcer']
animeVoices	[b'\nWatanabe, Toshio\nJapanese\n', b'\nKanda, Aika\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWada, Jouji\n\nProducer\n\n', b'\nMatsuo, Ryouichirou\n\nProducer\n\n', b'\nKon, Satoshi\n\nDirector, Episode Director, Storyboard, Color Design\n\n', b'\nKobayashi, Osamu\n\nDirector, Episode Director, Storyboard, Background Art, Original Creator, Key Animation, Character Design\n\n']
