animeTitle	Dokidoki Oyako Lesson: Oshiete H na Obenkyou
animeType	OVA
animeNumEpisode	2
releaseDate	2007-04-25 00:00:00
endDate	2007-06-25 00:00:00
animeNumMembers	
animeScore	6.62
animeUsers	3201
animeRank	
animePopularity	5655
animeDescription	"Based on the hentai game by Tinker Bell.
Shio Atsushi is a professor who will provide home class to two daughters of different families : Arisa and Maya.
But it seems this won`t be only educationnal purpose since the two girls show interest to that man."
animeRelated	['Dokidoki Oyako Lesson: Oshiete H na Obenkyou']
animeCharacters	['Sato, Maya', 'Sato, Nami', 'Kumagai, Arisa', 'Kumagai, Aki', 'Ikuta, Atsushi', 'Hitotsuya, Chidori']
animeVoices	['Hyo-sei', 'Okajima, Tae', 'Honma, Yukari', 'Morota, Kaoru']
animeStaff	[['Raika, Ken', 'Director'], ['TinkerBell', 'Original Creator'], ['Sumeragi, Kohaku', 'Original Character Design']]
