animeTitle	Hyakka Ryouran: Samurai Bride Specials
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.58
animeUsers	4628
animeRank	
animePopularity	4930
animeDescription	Specials included on DVDs and Blu-rays.
animeRelated	['Hyakka Ryouran: Samurai Bride']
animeCharacters	"['Yagyuu, Juubei', 'Naoe, Kanetsugu', 'Sanada, Yukimura', 'Yagyuu, Gisen', 'Tokugawa, Sen', 'Gotou, Matabei', ""D'Artagnan, Charles"", 'Maeda, Keiji', 'Houzouin, Inshun', 'Sarutobi, Sasuke']"
animeVoices	['Yuuki, Aoi', 'Toyosaki, Aki', 'Kugimiya, Rie', 'Mizuhara, Kaoru', 'Kotobuki, Minako', 'Kobayashi, Yuu', 'Koshimizu, Ami', 'Noto, Mamiko', 'Satou, Satomi', 'Akasaki, Chinatsu']
animeStaff	[['Katou, Tatsuya', 'Music'], ['Foster, Steven', 'ADR Director'], ['Niθ', 'Original Character Design'], ['Ledford, John', 'Executive Producer']]
