animeTitle	Blood-C: None-None Gekijou
animeType	ONA
animeNumEpisode	7
releaseDate	2012-04-08 00:00:00
endDate	2012-10-07 00:00:00
animeNumMembers	9737
animeScore	6.14
animeUsers	2306
animeRank	7963
animePopularity	5371
animeDescription	"A series of short specials aired on the official website prior to the movie release. It consists of an explanation about the anime from the perspective of the twin characters, Motoe Nono and Motoe Nene.

An additional episode was aired at the Clamp Festival 2012.  It was later included in Blood-C: The Last Dark Limited Edition BD and DVD."
animeRelated	['Blood-C']
animeCharacters	['Motoe, Nene', 'Motoe, Nono']
animeVoices	['Fukuen, Misato']
animeStaff	[['Ashina, Minoru', 'Episode Director'], ['CLAMP', 'Original Creator']]
