animeTitle	Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA
animeType	OVA
animeNumEpisode	1
releaseDate	2021-04-28 00:00:00
endDate	
animeNumMembers	49873
animeScore	6.82
animeUsers	15800
animeRank	4516
animePopularity	2516
animeDescription	"There's a new natural hot spring in Orario thanks to the Dian Cecht Familia, but Naaza of the Miach Familia suspects an elaborate con and needs help to prove it. What does that mean for Bell since he's in the wrong place at the wrong time? It means getting caught in the middle of an ongoing rivalry between two Familias. Again.

(Source: ANN)"
animeRelated	['Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III']
animeCharacters	['Cranel, Bell', 'Hestia', 'Wallenstein, Ais', 'Lion, Ryuu', 'Arde, Liliruca', 'Sanjouno, Haruhime', 'Wiene', 'Yamato, Mikoto', 'Crozzo, Welf', 'Teasanare, Amid']
animeVoices	['Matsuoka, Yoshitsugu', 'Minase, Inori', 'Oonishi, Saori', 'Hayami, Saori', 'Uchida, Maaya', 'Chisuga, Haruka', 'Hidaka, Rina', 'Akasaki, Chinatsu', 'Hosoya, Yoshimasa']
animeStaff	[['Tachibana, Hideki', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Shirane, Hideki', 'Script'], ['Iguchi, Yuka', 'Theme Song Performance']]
