animeTitle	b'Moyashimon CGI Anime'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.15
animeUsers	504
animeRank	
animePopularity	
animeDescription	b'Six minutes long CGI anime of Moyashimon, bundled with the limited edition of the manga volume 9. '
animeRelated	[b'Moyashimon']
animeCharacters	[b'Aspergillus oryzae']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nIshikawa, Masayuki\n\nOriginal Character Design, Original Creator\n\n']
