animeTitle	b'Tokubetsu Byoutou'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.39
animeUsers	1718
animeRank	
animePopularity	
animeDescription	b'It is about a female doctor who is creating sex pills. There are two kinds, one pill for male sexual enhancement and one for female sexual enhancement. She plans on testing these pills on herself and four of nurses in her section. There is a catch, the pills can have strange side effects which can deform the body for more sexual pleasure.  '
animeRelated	[b'Tokubetsu Byoutou']
animeCharacters	[b'Makimura, Ryouko', b'Takayama, Kazumi', b'Naruse, Hitomi', b'Shinohara, Kaname', b'Naruse, Chika']
animeVoices	[b'\nIshimatsu, Chiemi\nJapanese\n', b'\nInokuchi, Yuka\nJapanese\n', b'\nIwai, Yukiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMurakami, Kotaro\n\nProducer\n\n', b'\nBishop\n\nOriginal Creator\n\n', b'\nIshii, Kazuhiko\n\nKey Animation\n\n', b'\nNishi, Shigenari\n\nEditing\n\n']
