animeTitle	Otenki Boys
animeType	TV
animeNumEpisode	30
releaseDate	1991-04-01 00:00:00
endDate	1991-09-27 00:00:00
animeNumMembers	155
animeScore	
animeUsers	
animeRank	12645
animePopularity	16864
animeDescription	An anime made for toddlers following weather themed characters, originally aired as a part of the early morning children's program Hirake! Ponkikki before the anime was combined and released on VHS.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
