animeTitle	Prism Season
animeType	OVA
animeNumEpisode	1
releaseDate	1989-04-21 00:00:00
endDate	
animeNumMembers	166
animeScore	
animeUsers	
animeRank	12849
animePopularity	16649
animeDescription	"In a gentle adaptation of Megume Nagata's book Flowers Wait for the Moon, a girl grows up, falls in love, and becomes a mother, realizing that her childhood is now forever behind her. 

(Source: The Anime Encyclopedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
