animeTitle	Get Up! Get Live! #Geragera
animeType	TV
animeNumEpisode	10
releaseDate	2020-07-11 00:00:00
endDate	2020-09-12 00:00:00
animeNumMembers	955
animeScore	
animeUsers	
animeRank	15751
animePopularity	11267
animeDescription	"The story of the ""voice actor x 2D entertainer"" project centers on aspiring comedian entertainers who all gather at SSS, a talent agency for comedians. The story portrays the friction and jealousy in their rivaling careers, as well as their admiration towards industry veterans, their disappointments, and the obstacles to their success as they aspire to become the greatest entertainers in Japan and the world.

(Source: ANN)"
animeRelated	['Get Up! Get Live! #GeraGera Episode 0']
animeCharacters	['Oono, Toranosuke', 'Komae, Kazuma', 'Higashizawa, Kaede', 'Kitami, Ren', 'Machida, Sena', 'Uehara, Junya']
animeVoices	['Ishikawa, Kaito', 'Kumagai, Kentarou', 'Nishiyama, Koutarou', 'Azakami, Youhei', 'Toyonaga, Toshiyuki', 'Hanae, Natsuki']
animeStaff	[['Eighty-Eight', 'Director'], ['Watari, Wataru', 'Original Creator'], ['Ifukube, Takashi', 'Series Composition'], ['Tenshin, Mukai', 'Planning']]
