animeTitle	b'Futakoi Alternative'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	10593
animeRank	
animePopularity	
animeDescription	"b""The Futaba Detective Agency, being run by Rentarou, who has taken over the family business, after his father's death 3 weeks ago. Along w/ Sara & Souju, his live-in identical twin assistants. He ends up running afoul of the local Yakuza.\n\n(Source: ANN)"""
animeRelated	[b'Futakoi Alternative', b'Futakoi']
animeCharacters	[b'Futaba, Rentarou', b'Shirogane, Sara', b'Shirogane, Souju', b'Sakurazuki, Kira', b'Ichijou, Sumireko', b'Sakurazuki, Yura', b'Ichijou, Kaoruko', b'Hinagiku, Lulu', b'Hariyama, Nishimori', b'Momoi, Mai']
animeVoices	[b'\nSeki, Tomokazu\nJapanese\n', b'\nMizuhashi, Kaori\nJapanese\n', b'\nKadowaki, Mai\nJapanese\n', b'\nItsuki, Yui\nJapanese\n', b'\nKoshimizu, Ami\nJapanese\n', b'\nTsunakake, Hiromi\nJapanese\n', b'\nHorie, Yui\nJapanese\n', b'\nHasegawa, Shizuka\nJapanese\n', b'\nYasumura, Makoto\nJapanese\n', b'\nSango, Minako\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHirao, Takayuki\n\nDirector, Episode Director, Storyboard\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nKobayashi, Tomoki\n\nEpisode Director\n\n', b'\nAbe, Masashi\n\nEpisode Director, Storyboard\n\n']
