animeTitle	Bakuman. 2nd Season Special
animeType	Special
animeNumEpisode	1
releaseDate	2012-09-26 00:00:00
endDate	
animeNumMembers	
animeScore	6.69
animeUsers	5731
animeRank	
animePopularity	4609
animeDescription	"Salaryman Rakko 11-gou encounters a prowler scolding Rie and Naho for bumping into him. The passerby attempts to mediate, but he ends up insulted when his half-human, half-otter appearance is brought up.

[Written by MAL Rewrite]"
animeRelated	['Bakuman. 2nd Season']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
