animeTitle	Hakuouki Hekketsuroku Episode 0
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.11
animeUsers	4742
animeRank	
animePopularity	4782
animeDescription	Summary of the first season of Hakuouki Shinsengumi Kitan. Aired the week before the second season began. 
animeRelated	['Hakuouki', 'Hakuouki Hekketsuroku', 'Hakuouki Movie 1: Kyoto Ranbu']
animeCharacters	['Saitou, Hajime', 'Okita, Souji', 'Hijikata, Toshizou', 'Harada, Sanosuke', 'Toudou, Heisuke', 'Yukimura, Chizuru', 'Nagakura, Shinpachi', 'Sannan, Keisuke', 'Kazama, Chikage', 'Shiranui, Kyou']
animeVoices	[]
animeStaff	[['Otani, Kow', 'Music'], ['Kazuki, Yone', 'Original Character Design'], ['Idea Factory', 'Original Creator']]
