animeTitle	Shi Xiong
animeType	ONA
animeNumEpisode	41
releaseDate	2014-11-24 00:00:00
endDate	2015-03-05 00:00:00
animeNumMembers	
animeScore	6.56
animeUsers	652
animeRank	
animePopularity	8645
animeDescription	"Protagonist XiaoFei used to be an ordinary guy from H city. After the spring water was contaminated with a virus, however, he unexpectedly encountered an unprecedented crisis. The people living in H City became zombies one by one, devouring each other, and gradually evolving. Can XiaoFei escape from H city and meet up with his girlfriend Wei? The story now begins...

(Source: The Faiien Scans)"
animeRelated	['Wo Jiao Bai Xiaofei']
animeCharacters	['Bai, Xiaofei']
animeVoices	[]
animeStaff	[['Li, Shujie', 'Director'], ['Lu, Hengyu', 'Director']]
