animeTitle	Teekyuu 9
animeType	TV
animeNumEpisode	12
releaseDate	2017-07-12 00:00:00
endDate	2017-09-27 00:00:00
animeNumMembers	11913
animeScore	6.56
animeUsers	5499
animeRank	5832
animePopularity	4961
animeDescription	Ninth season of the Teekyuu anime series.
animeRelated	['Teekyuu', 'Teekyuu 8']
animeCharacters	['Bandou, Marimo', 'Shinjou, Kanae', 'Takamiya, Nasuno', 'Oshimoto, Yuri', 'Michael', 'Tomalin', 'Yucatan', 'Kondou, Udonko', 'Oshimoto, Youta', 'Saleswoman']
animeVoices	['Hanazawa, Kana', 'Mimori, Suzuko', 'Narumi, Kyoko', 'Watanabe, Yui', 'Ogura, Yui', 'Oosaka, Ryouta']
animeStaff	[['Itagaki, Shin', 'Director, Sound Director, Storyboard, Character Design, Screenplay'], ['Watanabe, Yui', 'Theme Song Performance'], ['Earth Star Dream', 'Theme Song Performance'], ['Piyo', 'Original Creator']]
