animeTitle	Kakegurui Picture Drama
animeType	Special
animeNumEpisode	3
releaseDate	2017-10-13 00:00:00
endDate	2018-02-09 00:00:00
animeNumMembers	
animeScore	6.69
animeUsers	8808
animeRank	
animePopularity	3607
animeDescription	Picture drama episodes included on the DVD/Blu-ray Volumes of Kakegurui.
animeRelated	['Kakegurui']
animeCharacters	['Jabami, Yumeko', 'Saotome, Mary']
animeVoices	[]
animeStaff	[['Naomura, Tooru', 'Original Character Design'], ['Kawamoto, Homura', 'Original Creator']]
