animeTitle	Master Mosquiton '99
animeType	TV
animeNumEpisode	26
releaseDate	1997-09-30 00:00:00
endDate	1998-03-31 00:00:00
animeNumMembers	3798
animeScore	6.51
animeUsers	1147
animeRank	6112
animePopularity	7767
animeDescription	"Catholic schoolgirl Inaho discovers that a vampire, Mosquiton, is feeding off of her classmates. So she stakes him, but he is revived after her blood comes in contact with the his remains. Mosquiton becomes her slave and also a history teacher. Together, along with Yuuki and Honou, the unlikely duo have many escapades and adventures. One of Inaho's main goals is to find the mythical O-Part to make some money!

(Source: AnimeNfo)"
animeRelated	['Master Mosquiton']
animeCharacters	['Mosquiton, Alucard von', 'Hitomebore, Inaho', 'Camilla, Camille Inaho', 'Wolf Lady', 'Yuki', 'Honoo']
animeVoices	['Koyasu, Takehito', 'Imai, Yuka', 'Tsuru, Hiromi', 'Tanaka, Atsuko', 'Neya, Michiko', 'Ueda, Yuuji']
animeStaff	[['Okajima, Kunitoshi', 'Director, Episode Director, Storyboard'], ['Ono, Katsumi', 'Episode Director'], ['Araki, Kenichi', 'Script'], ['Kakudou, Hiroyuki', 'Storyboard']]
