animeTitle	Naisho no Tsubomi
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.55
animeUsers	3321
animeRank	
animePopularity	5972
animeDescription	"Tsubomi Tachibana is a fifth grader dealing with rather sensitive issues such as her mother's pregnancy, her first period and the strange feelings she has started to get when she has been around boys.

(Source: ANN)"
animeRelated	['Naisho no Tsubomi']
animeCharacters	['Nemoto, Daiki', 'Tachibana, Tsubomi', 'Endo, Saya', 'Kuki, Futoshi', 'Saegusa, You', 'Yamabuki, Yae', 'Kato, Rea']
animeVoices	['Shiraishi, Ryouko', 'Nazuka, Kaori', 'Koshimizu, Ami', 'Miyata, Kouki', 'Saiga, Mitsuki', 'Kobayashi, Sanae', 'Kanda, Akemi']
animeStaff	[['Shigino, Akira', 'Director, Storyboard'], ['Arakawa, Naruhisa', 'Series Composition, Screenplay'], ['Yabuuchi, Yuu', 'Creator'], ['Inoue, Kazuhiro', 'Art Director']]
