animeTitle	Durarara!!
animeType	TV
animeNumEpisode	24
releaseDate	2010-01-08 00:00:00
endDate	2010-06-25 00:00:00
animeNumMembers	
animeScore	8.14
animeUsers	570585
animeRank	
animePopularity	73
animeDescription	"In Tokyo's downtown district of Ikebukuro, amidst many strange rumors and warnings of anonymous gangs and dangerous occupants, one urban legend stands out above the rest—the existence of a headless ""Black Rider"" who is said to be seen driving a jet-black motorcycle through the city streets.

Mikado Ryuugamine has always longed for the excitement of the city life, and an invitation from a childhood friend convinces him to move to Tokyo. Witnessing the Black Rider on his first day in the city, his wishes already seem to have been granted. But as supernatural events begin to occur, ordinary citizens like himself, along with Ikebukuro's most colorful inhabitants, are mixed up in the commotion breaking out in their city.

[Written by MAL Rewrite]
"
animeRelated	['Durarara!!', 'Durarara!! Specials', 'Durarara!!x2 Shou']
animeCharacters	['Orihara, Izaya', 'Heiwajima, Shizuo', 'Sturluson, Celty', 'Kida, Masaomi', 'Ryuugamine, Mikado', 'Sonohara, Anri', 'Dian, Isaac', 'Harvent, Miria', 'Kishitani, Shinra', 'Brezhnev, Semyon']
animeVoices	['Kamiya, Hiroshi', 'Ono, Daisuke', 'Sawashiro, Miyuki', 'Miyano, Mamoru', 'Toyonaga, Toshiyuki', 'Hanazawa, Kana', 'Onosaka, Masaya', 'Aoki, Sayaka', 'Fukuyama, Jun', 'Kuroda, Takaya']
animeStaff	[['Matsumoto, Miho', 'Assistant Producer'], ['Oomori, Takahiro', 'Director, Sound Director, Episode Director, Storyboard, Sound Supervisor'], ['Kawatsura, Shinya', 'Episode Director, Storyboard, Assistant Director'], ['Yamazaki, Mitsue', 'Episode Director']]
