animeTitle	Waga Seishun no Arcadia
animeType	Movie
animeNumEpisode	1
releaseDate	1982-07-28 00:00:00
endDate	
animeNumMembers	8813
animeScore	7.49
animeUsers	3630
animeRank	1659
animePopularity	5584
animeDescription	"Earth has been conquered by the evil Illumidus Empire, with parallels drawn to the U.S. post World War II occupation of Japan. Captain Harlock with a group that will become his life long friends begin their fight against this tyranny visited upon the planet Earth, with no regard to the costs the struggle will have on them, caring only for the ideal of restoring freedom to the people of Earth.

(Source: ANN)"
animeRelated	['Senjou Manga Series', 'Uchuu Kaizoku Captain Herlock', 'Queen Emeraldas', 'Waga Seishun no Arcadia: Mugen Kidou SSX']
animeCharacters	['Captain Herlock', 'Emeraldas', 'Ooyama, Tochirou', 'Maya', 'Harlock I, Phantom F. ', 'Harlock II, Phantom F.', 'Zoll', 'Ooyama, Tochiro', 'General Zeda', 'Muriguson']
animeVoices	['Inoue, Makio', 'Tajima, Reiko', 'Tomiyama, Kei', 'Mutou, Reiko', 'Ishihara, Yujiro', 'Ikeda, Shuuichi']
animeStaff	[['Katsumata, Tomoharu', 'Director'], ['Matsumoto, Leiji', 'Planning, Original Creator'], ['Tanaka, Kouhei', 'Music'], ['Kanada, Yoshinori', 'Key Animation']]
