animeTitle	DRAMAtical Murder
animeType	TV
animeNumEpisode	12
releaseDate	2014-07-07 00:00:00
endDate	2014-09-22 00:00:00
animeNumMembers	150480
animeScore	6.07
animeUsers	61197
animeRank	8344
animePopularity	1180
animeDescription	"Some time ago, the influential and powerful Toue Inc. bought the island of Midorijima, Japan, with the plans of building Platinum Jail—a luxurious utopian facility. Those who are lucky enough to call it home are the wealthiest citizens in the world. The original residents of the island, however, were forced to relocate to the Old Residential District; and after the completion of Platinum Jail, they were completely abandoned.

""Rib"" and ""Rhyme"" are the most common games played on the island. Rib is an old school game in which gangs engage in turf wars against each other, while Rhyme is a technologically advanced game wherein participants fight in a virtual reality. To be able to play Rhyme, you must have an ""All-Mate"" (an AI that typically looks like a pet), and the match must be mediated by an ""Usui.""

Aoba Seragaki has no interest in playing either game; he prefers to live a peaceful life with his grandmother and All-Mate, Ren. However, after getting forcefully dragged into a dangerous Rhyme match and hearing rumors about disappearing Rib players, all of Aoba's hopes of living a normal life are completely abolished.

[Written by MAL Rewrite]"
animeRelated	"['DRAMAtical Murder', 'DRAMAtical Murder: Data_xx_Transitory', ""BOY's LOVE Nitro+CHiRAL""]"
animeCharacters	['Noiz', 'Clear', 'Seragaki, Aoba', 'Koujaku', 'Ren', 'Mink', 'Virus', 'Trip', 'Sei', 'Mizuki']
animeVoices	['Hino, Satoshi', 'Nakazawa, Masatomo', 'Kisaichi, Atsushi', 'Takahashi, Hiroki', 'Takeuchi, Ryouta', 'Matsuda, Kenichirou', 'Majima, Junji', 'Higuchi, Tomoyuki', 'Iguchi, Yuuichi', 'Takahashi, Kenji']
animeStaff	[['Miura, Kazuya', 'Director'], ['Iida, Satoki', 'Sound Director'], ['Sasaki, Tokihiro', 'Episode Director'], ['Itou, Fumio', 'Episode Director']]
