animeTitle	Seraphim Call
animeType	TV
animeNumEpisode	12
releaseDate	1999-10-06 00:00:00
endDate	1999-12-22 00:00:00
animeNumMembers	
animeScore	6.1
animeUsers	990
animeRank	
animePopularity	7341
animeDescription	"Eleven young hearts with eleven dreams. Deep in their hearts, each girl has a secret dream of love and sadness. They meet together at Acropolis Tower to see if their dreams will come true. Imagine what happens when eleven average girls with eleven special talents join together to make the world a better place.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Rindou, Ayaka', 'Matsumoto, Kurumi', 'Murasame, Sakura', 'Murasame, Shion', 'Tachibana, Urara', 'Kusunoki, Hatsumi', 'Teramoto, Tanpopo', 'Ouse, Chinami', 'Kurimoto, Yukina', 'Kurenai, Kasumi']
animeVoices	['Sakuma, Rei', 'Kawasumi, Ayako', 'Nishimura, Chinami', 'Nagasawa, Miki', 'Yamamoto, Maria', 'Itou, Emiko', 'Kawata, Taeko', 'Yajima, Akiko', 'Kasahara, Hiroko', 'Asakawa, Yuu']
animeStaff	[['Mochizuki, Tomomi', 'Director, Storyboard'], ['Kobayashi, Katsuyoshi', 'Sound Director'], ['Okamoto, Hideki', 'Episode Director'], ['Araki, Kenichi', 'Script']]
