animeTitle	Super Lovers OVA
animeType	OVA
animeNumEpisode	2
releaseDate	2017-01-01 00:00:00
endDate	2017-09-01 00:00:00
animeNumMembers	26530
animeScore	7.36
animeUsers	9008
animeRank	2149
animePopularity	3511
animeDescription	Bundled with manga's tenth and eleventh volume.
animeRelated	['Super Lovers']
animeCharacters	['Kaidou, Ren', 'Kaidou, Haru', 'Kaidou, Aki', 'Kaidou, Shima', 'Sasaki, Ikuyoshi']
animeVoices	['Minagawa, Junko', 'Maeno, Tomoaki', 'Matsuoka, Yoshitsugu', 'Terashima, Takuma', 'Murase, Ayumu']
animeStaff	[['Matsuoka, Yoshitsugu', 'Theme Song Performance'], ['Maeno, Tomoaki', 'Theme Song Performance'], ['Minagawa, Junko', 'Theme Song Performance'], ['Terashima, Takuma', 'Theme Song Performance']]
